2020-04-15,-1
2020-04-16,1
2020-04-17,-1
2020-04-20,-1
2020-04-21,1
2020-04-22,1
2020-04-23,-1
2020-04-24,1
2020-04-27,0
2020-04-28,1
2020-04-29,-1
2020-05-04,-1
2020-05-05,1
2020-05-06,0
2020-05-07,1
2020-05-08,1
2020-05-11,0
2020-05-12,0
2020-05-13,1
2020-05-14,-1
2020-05-15,1
2020-05-18,1
2020-05-19,0
2020-05-20,1
2020-05-21,-1
2020-05-22,-1
2020-05-25,1
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,1
2020-06-01,1
2020-06-02,-1
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-08,-1
2020-06-09,0
2020-06-10,1
2020-06-11,-1
2020-06-12,1
2020-06-15,1
2020-06-16,1
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-22,1
2020-06-23,0
2020-06-24,1
2020-06-26,1
2020-06-29,-1
2020-06-30,0
2020-07-02,0
2020-07-03,-1
2020-07-06,-1
2020-07-07,0
2020-07-08,-1
2020-07-09,1
2020-07-10,1
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,0
2020-07-17,1
2020-07-20,0
2020-07-21,-1
2020-07-22,-1
2020-07-23,0
2020-07-24,0
2020-07-27,0
2020-07-28,1
2020-07-29,0
2020-07-30,0
2020-07-31,0
2020-08-03,1
2020-08-04,1
2020-08-05,1
2020-08-06,0
2020-08-07,-1
2020-08-10,1
2020-08-11,-1
2020-08-12,1
2020-08-13,0
2020-08-14,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,0
2020-08-21,0
2020-08-24,1
2020-08-25,0
2020-08-26,0
2020-08-27,1
2020-08-28,0
2020-08-31,0
2020-09-01,0
2020-09-02,0
2020-09-03,0
2020-09-04,1
2020-09-07,1
2020-09-08,1
2020-09-09,0
2020-09-10,1
2020-09-11,1
2020-09-14,1
2020-09-15,0
2020-09-16,1
2020-09-17,1
2020-09-18,-1
2020-09-21,1
2020-09-22,1
2020-09-23,1
2020-09-24,0
2020-09-25,0
2020-09-28,0
2020-09-29,0
2020-09-30,1
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,1
2020-10-09,1
2020-10-12,0
2020-10-14,-1
2020-10-15,0
2020-10-16,0
2020-10-19,0
2020-10-20,1
2020-10-21,-1
2020-10-22,-1
2020-10-23,1
2020-10-27,0
2020-10-28,1
2020-10-29,1
2020-10-30,-1
2020-11-02,-1
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,-1
2020-11-13,0
2020-11-16,1
2020-11-17,-1
2020-11-18,-1
2020-11-19,1
2020-11-20,1
2020-11-23,0
2020-11-24,-1
2020-11-25,-1
2020-11-26,1
2020-11-27,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-07,0
2020-12-08,0
2020-12-09,1
2020-12-10,1
2020-12-11,0
2020-12-14,1
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-21,-1
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-28,1
2020-12-29,1
2020-12-30,-1
2020-12-31,0
2021-01-04,0
2021-01-05,1
2021-01-06,0
2021-01-07,-1
2021-01-08,-1
2021-01-11,0
2021-01-12,0
