Dec-22-20,08:00PM,BlackRock Municipal 2020 Term Trusts Announce Liquidation Details
Nov-19-20,05:00PM,BlackRock Florida Municipal 2020 Term Trust & BlackRock Municipal 2020 Term Trust: Announcement of Adoption of Plan of Termination
Nov-02-20,08:00PM,Special Distribution Announced for Certain BlackRock Closed-End Funds
Oct-01-19,05:33PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Sep-03-19,06:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Aug-01-19,05:15PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
May-01-19,04:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Apr-29-19,04:30PM,BlackRock Florida Municipal 2020 Term Trust Announces Share Repurchase Program
Apr-08-19,09:30AM,"BlackRock to Host Municipal Closed-End Fund Conference Call on Tuesday, April 9th"
Apr-01-19,04:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Mar-01-19,04:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Feb-01-19,05:00PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Jan-02-19,05:00PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Dec-31-18,04:30PM,BlackRock Closed-End Funds Announce Addition to Boards of Directors/Trustees
Dec-03-18,06:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Nov-01-18,05:00PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Oct-29-18,04:30PM,BlackRock Releases Closed-End Fund Conference Call Replay Information
Oct-15-18,04:30PM,"BlackRock to Host Closed-End Fund Conference Call on Wednesday, October 17th"
Sep-04-18,06:00PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Aug-01-18,07:45PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Jul-02-18,04:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Jun-06-18,06:30PM,BlackRock Municipal 2020 Term Trust and BlackRock Florida Municipal 2020 Term Trust Announce Change in Fiscal Year End
May-17-18,05:00PM,BlackRock Releases Municipal Closed-End Fund Conference Call Replay Information
May-07-18,06:00PM,"BlackRock to Host Municipal Closed-End Fund Conference Call on Wednesday, May 9th"
May-01-18,05:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Apr-02-18,05:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Mar-01-18,05:10PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Feb-16-18,04:30PM,BlackRock Closed-End Funds Announce Changes to their Boards of Directors/Trustees
Feb-01-18,06:11PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Jan-02-18,06:00PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Jan-02-18,04:30PM,BlackRock Closed-End Funds Announce Changes to their Boards of Directors/Trustees
Dec-01-17,05:00PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Nov-01-17,04:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Oct-16-17,05:00PM,BlackRocks Equity Closed-End Fund Conference Call Replay Now Available
Oct-03-17,06:22PM,"BlackRock to Host Equity Closed-End Fund Conference Call on Thursday, October 5th"
Oct-02-17,06:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Sep-01-17,04:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Aug-01-17,05:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Jul-03-17,01:15PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Jun-01-17,06:00PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
May-30-17,05:30PM,"BlackRock to Host Fixed Income Closed-End Fund Market Outlook and Opportunities Call on Thursday, June 1st"
Apr-03-17,07:00PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Apr-03-17,06:00PM,Early Declaration of Regular Distributions and Declaration of Special Distribution Announced for BlackRock Florida Municipal 2020 Term Trust
Mar-02-17,09:15AM,CORRECTING and REPLACING Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds (Amended and Restated Press Release)
Mar-01-17,05:00PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Feb-01-17,06:00PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Jan-03-17,05:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Dec-23-16,01:04PM,BLACKROCK FLORIDA MUNICIPAL 2020 TERM TRUST Financials
Dec-12-16,05:00PM,"BlackRock to Host Quarterly Closed-End Fund Market Update Conference Call on Wednesday, December 14th"
Dec-01-16,04:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Nov-01-16,04:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Oct-12-16,05:00PM,BlackRocks Closed-End Fund Conference Call Replay Now Available
Oct-03-16,05:00PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Oct-03-16,09:15AM,"BlackRock to Host Quarterly Closed-End Fund Market Update Conference Call on Wednesday, October 5th"
Sep-01-16,04:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Aug-01-16,04:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Jul-25-16,09:15AM,"BlackRock to Participate in Closed-End Fund Conference Call to be Held on Tuesday, July 26th"
Apr-01-16,05:00PM,Early Declaration of Regular Distributions Announced for BlackRock Florida Municipal 2020 Term Trust
Apr-01-16,05:00PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Mar-01-16,05:00PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Mar-01-16,05:00PM,BlackRock Closed-End Funds Announce a Change to their Boards of Directors/Trustees
Feb-01-16,05:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Jan-04-16,07:15PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Dec-07-15,05:30PM,"BlackRock to Participate in Closed-End Fund Conference Call to be Held on Wednesday, December 9th"
Dec-01-15,05:00PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Nov-02-15,05:00PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Oct-01-15,05:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Sep-01-15,06:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
Aug-03-15,05:30PM,Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds
